fabm2ae2	"california" del p end of word
fabm2an2	"put" add n * "plant" del p end of word
fabm2ap2	"a" del w
fabm2aq2	"most" del p end of word
fabm2as2	"insects" del p middle of word
fabm2au2	"world" del p end of word
fabm2ay2	"pollen" sub w not in CMUDICT * "another" del p end of word
fabm2az2	"pollen" sub w not in CMUDICT
fabm2ba2	"egg" del p end of word
fabm2be2	"the" del w * "caterpillar" del p beginning of word * "time" del p end of word
fabm2bf2	"ists" del p middle of word * "eggshell" sub w not in CMUDICT
fabm2bg2	"caterpillar" del p end of word
fabm2bi2	"caterpillar" del p end of word
fabm2bj2	"caterpillar" add n middle of word * "shell" sub not in CMUDICT * "around" add p false start * "pupa" del p end of word
fabm2bl2	"the shell" sub w replacement "comes" del w * "out" del w
fabm2bn2	"bright" del p end of word
fabm2bo2	"or" del p end of word * "white" del w
fabm2bp2	"Rwanda" del w
fabm2bq2	"Africa" del p end of word
fabm2bs2	"food" del p end of word * "and" del p end of word * "Rwanda" del p end of word
fabm2bt2	"Africa" del p end of word
fabm2bw2	"water" del p end of word
fabm2ca2	"and" del p end of word
fabm2cb2	"most:" sub w replacement * "farmers" del w
fabm2cd2	"grow only" sub w words switched * "food" del w
fabm2cf2	"could" sub w replacement
fabm2cg2	"school" add p before word * "the" del p beginning of word
fabm2cj2	"are" sub w not in CMUDICT * "rwanda" del p end of word
fabm2cm2	"is" del p beginning of word
fabm2cp2	"a" del w
fabm2cs2	"feet" sub w replacement
fabm2ct2	"covers it" add n * "of" sub w not in CMUDICT
fabm2cv2	"wind" del p end of word
fabm2cw2	"the" sub w replacement
fabm2cy2	"at the" sub w replacement * "southern" sub w replacement * "end" add w before word
fabm2dc2	"animals" add p beginning of word * "animals along" add p between word * "along" sub w replacement * "coast" add n
fabm2dd2	"swimmers" sub w not in CMUDICT
fabm2df2	"and" del p end of word
fabm2dg2	"so penguins" add n "walking" del p end of word
fabm2dj2	"have a hard" add n * "bills" sub w replacement
fabm2dk2	"crabeater" sub w not in CMUDICT * "land" del p end of word
fabm2dl2	"but" sub p replacement
fabm2dm2	"think" add p false start * "thick" add p end of word "find food" del w
fabm2dn2	"Antarctica" del p end of word
fabm2dq2	"watching" sub w replacement
fabm2dr2	"it" del p end of word
fabm2ds2	"doctors" add n middle of  word * "asked" del p middle of word
fabm2du2	"video games instead" del w
fabm2dv2	"about" del p end of word
facs2aa2	"a" sub w replacement
facs2ai2	"thought" sub w not int CMUDICT * "the blue" add p between words
facs2am2	"then" del w * "them" sub w not in CMUDICT
facs2an2	"each" sub w not in CMUDICT
facs2ao2	"lay"  sub w replacement "eggs" add p false start * "the" add p false start
facs2ap2	"form" sub w replacement
facs2ar2	"keep" sub w replacement
facs2av2	"the" del w
facs2ax2	"the" del w
facs2az2	"helps flowers" add w between words * "flowers" del p end of word * "seeds" add w after word
facs2bi2	"around" del p end of word
facs2bj2	"pupa" sub w not in CMUDICT
facs2bm2	"butterfly" add p end of word * "a" del w * "is a two sided thing" add w repeat
facs2bp2	"for" sub w replacement
facs2ca2	"and" del p end of word
facs2cc2	"bananas" sub w not in CMUDICT * "or raise" add w between words
facs2cd2	"most" del p end of word * "food to" add p between words
facs2ch2	"roads" del p middle of word * "a" sub w replacment
facs2ci2	"find" del p end of word
facs2cm2	"Rwanda" del p beginning of word
facs2co2	"made" sub w not in CMUDICT
facs2cr2	"mother" add p end of word * "lays" del p end of word * "lays an" add w between words
facs2ct2	"He" sub w replacement
facs2cw2	"the" sub w replacement
facs2cz2	"It" add p end of word * "is" del w * "coldest" add p false start * "on Earth" add w
facs2dc2	"along" add p false start * "in" del w
facs2df2	"of water" add w between words "must" del p end of word
facs2dg2	"so" sub w replacement * "often" del p middle of word
facs2dh2	"line" sub w replacement * "on Antarctica" add w between words
facs2dj2	"hard" sub w not in CMUDICT * "called" sub w replacement
fadf1aa2	add n before sentence; "Storms" sub w, replacement; "lightning" del p middle of word, not in CMUDICT; add n after sentence; 
fadf1ab2	add n before sentence; "Lightning" add p's before word, false start, del p middle of word, not in CMUDICT; "air" sub p beginning of word, not in CMUDICT;
fadf1ac2	"sometimes" del w before word; "ground" del p end of word; add n after sentence;
fadf1ad2	"Lightning" del p beginning of word, del p middle of word, not in CMUDICT; add n after sentence;
fadf1ae2	add n before sentence; "harm" sub w, replacement, add w after word, restart; add n after sentence;
fadf1af2	add n before sentence; "lightning" del p middle of word; 
fadf1ag2	add n before sentence; "lightning" del p middle of word, not in CMUDICT; "storm" add p's before word, false start(s), add  after word; "there" sub w, replacement; "things" add n after word; "do" add n after word; add n after sentence, whisper;
fadf1ah2	"indoors" del w before word, del p beginning of word; add n after sentence;
fadf1ai2	"water" sub p's middle of word; add n after sentence;
fadf1ak2	add n before sentence; "computer" del p middle of word, sub p end of word, not in CMUDICT; add n after sentence;
fadf1am2	add n before sentence; "Tornadoes" sub p beginning of word, not in CMUDICT;
