PRON_SIL SIL
PRON_SIL_B SIL_B
PRON_SIL_E SIL_E
PRON_SIL_I SIL_I
PRON_SIL_S SIL_S
PRON_SPN SPN
PRON_SPN_B SPN_B
PRON_SPN_E SPN_E
PRON_SPN_I SPN_I
PRON_SPN_S SPN_S
PRON_AA_B AA_B
PRON_AA_E AA_E
PRON_AA_I AA_I
PRON_AA_S AA_S
PRON_AA0_B AA0_B
PRON_AA0_E AA0_E
PRON_AA0_I AA0_I
PRON_AA0_S AA0_S
PRON_AA1_B AA1_B
PRON_AA1_E AA1_E
PRON_AA1_I AA1_I
PRON_AA1_S AA1_S
PRON_AA2_B AA2_B
PRON_AA2_E AA2_E
PRON_AA2_I AA2_I
PRON_AA2_S AA2_S
PRON_AE_B AE_B
PRON_AE_E AE_E
PRON_AE_I AE_I
PRON_AE_S AE_S
PRON_AE0_B AE0_B
PRON_AE0_E AE0_E
PRON_AE0_I AE0_I
PRON_AE0_S AE0_S
PRON_AE1_B AE1_B
PRON_AE1_E AE1_E
PRON_AE1_I AE1_I
PRON_AE1_S AE1_S
PRON_AE2_B AE2_B
PRON_AE2_E AE2_E
PRON_AE2_I AE2_I
PRON_AE2_S AE2_S
PRON_AH_B AH_B
PRON_AH_E AH_E
PRON_AH_I AH_I
PRON_AH_S AH_S
PRON_AH0_B AH0_B
PRON_AH0_E AH0_E
PRON_AH0_I AH0_I
PRON_AH0_S AH0_S
PRON_AH1_B AH1_B
PRON_AH1_E AH1_E
PRON_AH1_I AH1_I
PRON_AH1_S AH1_S
PRON_AH2_B AH2_B
PRON_AH2_E AH2_E
PRON_AH2_I AH2_I
PRON_AH2_S AH2_S
PRON_AO_B AO_B
PRON_AO_E AO_E
PRON_AO_I AO_I
PRON_AO_S AO_S
PRON_AO0_B AO0_B
PRON_AO0_E AO0_E
PRON_AO0_I AO0_I
PRON_AO0_S AO0_S
PRON_AO1_B AO1_B
PRON_AO1_E AO1_E
PRON_AO1_I AO1_I
PRON_AO1_S AO1_S
PRON_AO2_B AO2_B
PRON_AO2_E AO2_E
PRON_AO2_I AO2_I
PRON_AO2_S AO2_S
PRON_AW_B AW_B
PRON_AW_E AW_E
PRON_AW_I AW_I
PRON_AW_S AW_S
PRON_AW0_B AW0_B
PRON_AW0_E AW0_E
PRON_AW0_I AW0_I
PRON_AW0_S AW0_S
PRON_AW1_B AW1_B
PRON_AW1_E AW1_E
PRON_AW1_I AW1_I
PRON_AW1_S AW1_S
PRON_AW2_B AW2_B
PRON_AW2_E AW2_E
PRON_AW2_I AW2_I
PRON_AW2_S AW2_S
PRON_AY_B AY_B
PRON_AY_E AY_E
PRON_AY_I AY_I
PRON_AY_S AY_S
PRON_AY0_B AY0_B
PRON_AY0_E AY0_E
PRON_AY0_I AY0_I
PRON_AY0_S AY0_S
PRON_AY1_B AY1_B
PRON_AY1_E AY1_E
PRON_AY1_I AY1_I
PRON_AY1_S AY1_S
